Created_Date,Depth,Description,Height,Length,Listed_Date,Name,Price,Rating,Review,URL,Weight,Product_ID,reviewmeta_rating,decision,Featured_Rank
2018-12-23T15:27:36.456498,6.8,"
Wired In-Ear Headphones: Perfect for exercising; With three sets of earpads (S/M/L), headphones stay in your ears while keeping surrounding noise out
ErgoFit Design for Perfect Fit: Black, ultra-soft ErgoFit in-ear earbud headphones conform instantly to your ears (S/M/L earpads included for a perfect fit)
Smartphone Compatible: Panasonic in-ear headphones with integrated microphone and remote are compatible with Apple (iPhone / iPod / iPad), Android and Blackberry Audio devices
In-Ear Stereo Audio: Tonally balanced audio with crisp highs and deep low notes, plus wider frequency response and lively sound quality for recorded audio
Extended Headphone Cord: Long, 3.6-ft cord threads comfortably through clothing and bags making it easy to connect",3.2,3.6,,"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120-K (Black) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit",8.98,4.2,55942,https://www.amazon.com/Panasonic-Headphones-RP-TCM120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sr_1_4/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-4&keywords=wired+earbuds,0.01,B003EM8008,4.1,Good,1
2018-12-23T15:27:46.926620,6.8,"12mm dome type driver units deliver powerful deep bass. Connectivity Technology: Wired
Integrated microphone and smartphone playback control
Hybrid silicone earbuds for secure, comfortable fit
High-energy neodymium magnets for powerful sound
Tangle-free, Y-type flat cord with slider. Frequency Response- 4-24,000Hz, 4–24,000Hz
Lightweight for ultimate music mobility. 0.47 in neodymium drivers for powerful, balanced sound",1.5,2.6,,Sony MDRXB50AP Extra Bass Earbud Headset (Black),29.99,4.1,3761,https://www.amazon.com/Sony-MDRXB50AP-Extra-Earbud-Headset/dp/B00JRD13T8/ref=sr_1_5/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-5&keywords=wired+earbuds,0.15,B00JRD13T8,4.1,Good,2
2018-12-23T15:27:53.540138,1.4,"ORIGINAL SOUND EXPERIENCES: Excellent stereo headphones with microphone, surround sound effect good. Inside of the speakers have been engineered to maximize sound output and minimize sound loss. Noise elimination. The call is more vivid and clearer. High-quality audio. Suitable for working, running, jogging etc.
INTELLIGENT LINE CONTROL with MICROPHONE: Earbuds Built-in Microphone With Volume Control System, play / pause music / next track / previous track / answer phone calls / hang up phone calls.
ERGONOMIC DESIGN: Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear. Which makes them more comfortable for more people than any other earbud-style headphones, suitable for long-time wearing. And they also can easily pass through their coats, bags or backpacks.
WIDE COMPATIBILITY: Standard 3.5 mm plug Earbuds headphones compatible MP3, Tablet, PC and IOS Android devices etc. In-ear Earphones the sound is rich, well balanced, both upper and lower end crisp, and voice is smooth natural.
100% MONEY BACK GUARANTEE: Earbuds Headphones have One year warranty period. We devote ourselves to provide the best customer service and bring the best shopping experience to every customer. If you are not satisfied with earphones. Please contact us and we can offer a full refund.NO questions asked!",3.5,3.5,20-Dec-18,Earbuds Headphones Stereo in-Ear Earphones Noise Isolating Wired Earphone with Mic and Volume Control Comfort-Fit for Samsung Galaxy Android Smartphones and Mp3 Players,12.99,5.0,162,https://www.amazon.com/Headphones-Earphones-Isolating-Comfort-Fit-Smartphones/dp/B07M935W8X/ref=sr_1_6/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-6&keywords=wired+earbuds,0.12,B07M935W8X,,Fake,3
2018-12-23T15:28:03.556126,1.0,"COMFORTABLE & SNUG FIT PERFECT FOR WORKOUTS: An ergonomic design with 3 different sizes of silicone ear buds ensures the optimum fit for your ears. The ear hook design gives a secure fit making it perfect companion for running, jogging or the gym.
MULTI-FUNCTIONAL IN-LINE CONTROL: The included in-line control enables you to play / pause music, adjust volume, skip tracks, accept or reject calls, activate the voice assistant or call the last dialed number.
WIDE COMPATIBILITY: It is compatible with most 3.5mm enabled devices like iPhone, iPads, Andriod devices, MP3 players, computers. The 3.5 mm gold plated plug jack gets you crystal clear sound quality and guarantees sound spread without distortion.
COLLAR CLIP ALSO A WIRE SPLITTER: The earphones come with a dual-purpose clip, which you can clip to your collar for a better telephonic experience. This clip also acts as a wire splitter for shorter wires between the two ear buds during running.
24-MONTH WARRANTY & ONGOING SUPPORT: Purchase with confidence with our 24-month warranty that's included with earphones. You can also get in touch with our email support team if you have any questions about your purchase.",1.4,4.7,,"Avantree Sports Headphones Wired with Microphone, Over Ear Earbuds with Ear Hook, in Ear Running Earphones for Workout Gym Compatible with iPhone, Samsung",14.99,4.4,327,https://www.amazon.com/Avantree-Headphones-Microphone-Earphones-Compatible/dp/B078T9HFDJ/ref=sr_1_7/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-7&keywords=wired+earbuds,0.06,B078T9HFDJ,4.0,Good,4
2018-12-23T15:28:17.838286,8.8,"
Deep, clear sound enhanced by exclusive TriPort technology for crisp highs and natural-sounding lows.Connectivity Technology: Wired
Proprietary Stay Hear tips, in three sizes, conform to your ear's shape to stay comfortably in place all day
If the ear tips falling off securely attach the ear tips to the earpiece and nozzle hook to properly adhere to the ear base
Inline microphone and remote for easy switching between calls and music with select Samsung and Android smartphones
Matching protective carrying case included. StayHear tips:1 inch H x 0.75 inch W x 0.5 inch D",1.9,4.9,,"Bose SoundSport in-ear headphones for Samsung and Android devices, Charcoal",69.99,4.0,1657,https://www.amazon.com/Bose-SoundSport-headphones-Samsung-Charcoal/dp/B0117RFPCC/ref=sr_1_8/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-8&keywords=wired+earbuds,0.04,B0117RFPCC,4.0,Good,5
2018-12-23T15:28:27.615538,1.2,"DUAL DRIVER EARBUDS WITH INCREDIBLE SOUND - Experience music the way it was recorded. Hybrid dual driver technology creates a balanced sound signature, with crisp, clear trebles and effortless, deep bass.Your music is worth it.
EARPHONE WITH MIC FOR HANDS FREE CONVENIENCE - Switch seamlessly from enjoying your music to chatting with friends. The inline remote and microphone on these earbuds allows you to answer calls and control playback, without looking at your phone.
THESE EAR BUDS WITH CASE TRAVEL IN STYLE - The premium leather case with magnetic clasps, protects your favourite earbuds whilst you’re on the move.
ALWAYS READY TANGLE FREE EARBUDS - Why waste time untangling cables, the Prodigy 1 headphones are designed with a tangle resistant, flat 3.5mm cable. You can connect to almost any audio source in seconds.
ALL-DAY COMFORT - The Prodigy-1 in ear headphones, stay comfortable all day long. The ergonomic, feather light, earbud design, combined with a choice of four ear tips (1xS, 2xM, 1xL) ensure a stable fit, that feels fantasic.",6.6,9.2,,"Aiwa Prodigy-1 Premium Earphones - in-Ear Headphones/Wired Earbuds with Remote and Microphone for Samsung Galaxy, Apple, and All Smartphones",29.99,4.3,102,https://www.amazon.com/Aiwa-Prodigy-1-Premium-Earphones-Ear/dp/B07BF5F9LZ/ref=sr_1_9/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-9&keywords=wired+earbuds,0.15,B07BF5F9LZ,4.5,Good,6
2018-12-23T15:28:37.388027,1.0,"Lightweight in-ear stereo earphones provides natural clear and super enhanced bass sound
Compatible with all Apple Devices, Android, Smartphone, MP3 player, Laptop, Tablets, other devices with 3.5mm headphone port.
All metal housings tuned for accurate music reproduction and amazing clear BASS.
Comfortable In-ear design earphones with soft silicone rubber eartips (S/M/L) which can isolate outside noise with highly qualified sound insulation effect
1 Year Warranty and 30 days money back guarantee",7.3,3.9,,"Betron ELR50 Earphones Earbuds Headphones, Balanced Bass Driven Sound, Noise Isolating, Stereo for iPhone, iPod, iPad, Samsung and Mp3 Players (Black)",10.99,4.4,827,https://www.amazon.com/Betron-Earphones-Headphones-Balanced-Isolating/dp/B01M8G5K8V/ref=sr_1_10/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-10&keywords=wired+earbuds,0.21,B01M8G5K8V,4.1,Good,7
2018-12-23T15:28:45.764686,1.1,"Ergonomic ear bud design makes these earphones fit comfortably and stay put in ears while you're running, jogging, weight lifting, walking and gym training. These earbuds with control will also bring much convenience when listening to music or making a call.
Professional design provides enhanced sound with superb musical details. Excellent dynamic unit enhances the high-definition sound.
With the stylish design and high sound quality, these earphones are ideal for all Apple devices, Androids phones, Windows phones, MP3, MP4 player and other 3.5mm plug devices.
Flat noodle cables will prevent you from trouble of cable tangling. You can put this earphone in your pocket or handbags and it will be available to use whenever you need it.
Excellent service and prompt response are promised. If you have any quality issue, please feel free to contact us. No worries for you after purchasing.Excellent service and prompt response are promised. You can reach us by clicking “Pwow” and then clicking “Ask a question”.",3.4,3.4,,"Earbuds, BYZ Wired Earphones Stereo in Ear Headphones with Mic and Remote Control Tangle Free Flat Cable for Running Workout Jogging Black",9.99,5.0,132,https://www.amazon.com/Earbuds-BYZ-Earphones-Headphones-Control/dp/B07KR681VD/ref=sr_1_11/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-11&keywords=wired+earbuds,0.03,B07KR681VD,,Fake,8
2018-12-23T15:28:52.915777,0.5,"MAGNETIC FEATURE:The unique magnetic design of the earbuds is easy for storage without tangle and convenient for hanging around your neck while not using.
Crystal Clear Sound Quality: Lightweight in-ear stereo earphones bring you crystal clear and dynamic sound. Wider frequency range allows you to enjoy impressive music.
Comfy and Secure Fit:Ergonomically flexible designed with gel flex silicone earbuds to ensure your headphones stay comfortably firm in place without falling out.
Easy to Use:Built-in Mic, convenient hands-free calling. You can also easily play/pause, skip music tracks through the multi-function button. No need to take out your phone from pocket band any more.
WIDE COMPATIBILITY:Built-in mic lets you talk hands-free on your device, 3.5mm Jack plug,100% fits Most Smart Phones, Tablets, PC, Music Player,like iPhone 6/6S iPad, iPod, Samsung S6 S5 Note 4 Blackberry Nexus HTC, Huawei, etc.",1.1,1.5,,"Wired Earbuds,COSPOR Magnetic in-Ear Stereo Earphones,3.5mm handsfree Sports Headphones with mic for Android/iOS (Gold)",15.99,5.0,44,https://www.amazon.com/COSPOR-Magnetic-Earphones-handsfree-Headphones/dp/B07LD4SCLZ/ref=sr_1_12/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-12&keywords=wired+earbuds,0.1,B07LD4SCLZ,,Fake,9
2018-12-23T15:29:01.026100,0.0,"
Feel the power of extra bass. Connectivity Technology: Wired
Water and sweat resistant. Frequency Response- 4-24000Hz. Sensitivities (dB/mW)- 106dB / mW
Enjoy a comfortable, secure fit with built-in ARC Supports
Built-in microphone and in-line remote for use with Apple devices
Move freely with an extended Y-type cord; Install and use the proper size of Earbuds and Arc Supporters, per the user manual
Run through heavy rain, sleet or snow with peace of mind",0.0,0.0,,"Sony MDRXB510AS/B Extra Bass Wired Headphones, Best Sports Headphones W/Mic IPX5 Stereo Sweatproof Earbuds Durable Comfortable Gym Running Workout",39.99,3.9,209,https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/dp/B01MTEU4V9/ref=sr_1_13/141-5699935-9644901?s=aht&ie=UTF8&qid=1545600408&sr=1-13&keywords=wired+earbuds,0.25,B01MTEU4V9,3.8,Good,10
